category,card_name_jp,urls,decks_with_card,total_copies,avg_when_present (per decks with card),avg_overall (per all decks)
pokemon,ソウブレイズex,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46189/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47124/"",""link2"")",10,58,5.800,5.800
pokemon,カルボウ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44260/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46188/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46360/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48359/"",""link4"")",10,78,7.800,7.800
pokemon,ソルロック,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47760/"",""link1"")",9,36,4.000,3.600
pokemon,ルナトーン,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47759/"",""link1"")",9,36,4.000,3.600
pokemon,イキリンコex,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43272/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43682/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43687/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44677/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45123/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47869/"",""link6"")",10,28,2.800,2.800
pokemon,キチキギスex,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45913/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46058/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46066/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46765/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47177/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47862/"",""link6"")",10,20,2.000,2.000
pokemon,コダック,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47492/"",""link1"")",2,4,2.000,0.400
pokemon,テツノツツミ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44332/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44450/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46448/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46708/"",""link4"")",5,10,2.000,1.000
pokemon,バチュル,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45971/"",""link1"")",1,4,4.000,0.400
pokemon,デンチュラ,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45877/"",""link1"")",1,2,2.000,0.200
pokemon,テツノカイナex,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46715/"",""link1"")",1,4,4.000,0.400
pokemon,ミュウex,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47861/"",""link1"")",1,2,2.000,0.200
pokemon,ラティアスex,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46248/"",""link1"")",1,2,2.000,0.200
pokemon,ソウブレイズ,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48360/"",""link1"")",1,2,2.000,0.200
pokemon,ファイヤー,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48354/"",""link1"")",2,4,2.000,0.400
goods,ハイパーボール,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/36307/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42399/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46198/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47193/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47264/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47879/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48295/"",""link7"")",10,78,7.800,7.800
goods,ネストボール,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45399/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46090/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46196/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47192/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47878/"",""link5"")",10,68,6.800,6.800
goods,ファイトゴング,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47792/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48439/"",""link2"")",8,34,4.250,3.400
