category,card_name_jp,urls,decks_with_card,total_copies,avg_when_present (per decks with card),avg_overall (per all decks)
goods,大地の器,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44306/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46088/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46804/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47875/"",""link4"")",10,46,4.600,4.600
goods,すごいつりざお,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43273/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47874/"",""link2"")",7,24,3.429,2.400
goods,パーフェクトミキサー,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46197/"",""link1"")",3,6,2.000,0.600
goods,夜のタンカ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45931/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47885/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48298/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48316/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48440/"",""link5"")",6,28,4.667,2.800
goods,ともだちてちょう,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/36838/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/38366/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42615/"",""link3"")",10,22,2.200,2.200
goods,ヒートバーナー,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48414/"",""link1"")",5,10,2.000,1.000
goods,なかよしポフィン,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48294/"",""link1"")",1,2,2.000,0.200
goods,シークレットボックス,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45783/"",""link1"")",1,2,2.000,0.200
goods,スーパーエネルギー回収,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45831/"",""link1"")",1,4,4.000,0.400
tools,ふうせん,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48301/"",""link1"")",2,4,2.000,0.400
supporter,ゼイユ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45788/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45865/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45872/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46831/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47208/"",""link5"")",10,74,7.400,7.400
supporter,ブライア,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46039/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46174/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46180/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46837/"",""link4"")",6,12,2.000,1.200
supporter,ボスの指令,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/38821/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/41096/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42422/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42900/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44704/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48281/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48303/"",""link7"")",10,54,5.400,5.400
supporter,博士の研究,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/41803/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42251/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46621/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47896/"",""link4"")",6,20,3.333,2.000
supporter,フトゥー博士のシナリオ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44377/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44465/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44470/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46836/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47211/"",""link5"")",7,24,3.429,2.400
supporter,ナンジャモ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47267/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47895/"",""link2"")",2,4,2.000,0.400
stadium,ボウルタウン,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47216/"",""link1"")",1,2,2.000,0.200
stadium,バトルコロシアム,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48419/"",""link1"")",1,4,4.000,0.400
stadium,ジャミングタワー,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47214/"",""link1"")",1,2,2.000,0.200
energy,基本炎エネルギー,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/37743/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/40883/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46117/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47904/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48309/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48323/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48333/"",""link7"")",10,140,14.000,14.000
energy,基本闘エネルギー,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/34671/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/37747/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/41320/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46121/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47908/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48313/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48327/"",""link7"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48337/"",""link8"")",9,176,19.556,17.600
energy,ジェットエネルギー,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46453/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46846/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46991/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47217/"",""link4"")",8,38,4.750,3.800
energy,レガシーエネルギー,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45792/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46848/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47220/"",""link3"")",6,12,2.000,1.200
energy,基本草エネルギー,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46116/"",""link1"")",1,10,10.000,1.000
energy,基本雷エネルギー,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46119/"",""link1"")",1,10,10.000,1.000
