deck_id,date,source_url,pokemon,goods,tools,supporter,stadium,energy,total_cards
MypEpS-9mitW2-ypyp3U,2025-09-27,https://pokecabook.com/archives/234601,15,15,3,13,4,10,60
Q6gHnP-uVNOXR-Qn9nLn,2025-09-27,https://pokecabook.com/archives/234601,17,15,3,11,3,11,60
kvwdVv-C7Ax4T-FkvFkb,2025-09-27,https://pokecabook.com/archives/234601,16,17,3,11,3,10,60
KccYJc-KAV9ut-88Yxcc,2025-09-27,https://pokecabook.com/archives/234601,16,15,4,12,3,10,60
xJ8cY8-cUmwbJ-KDGx8a,2025-09-27,https://pokecabook.com/archives/234601,15,15,4,12,4,10,60
HnP6N9-Lt26ak-n9QLgn,2025-09-27,https://pokecabook.com/archives/234601,15,16,4,12,4,9,60
8Y88Yc-5VzB0Q-DDKK8G,2025-09-27,https://pokecabook.com/archives/234601,16,15,3,13,3,10,60
gPngnQ-WVJO9Z-PiLLg6,2025-09-27,https://pokecabook.com/archives/234601,16,16,3,12,4,9,60
848x8J-25XBJv-KYaDGc,2025-09-27,https://pokecabook.com/archives/234601,16,15,4,12,3,10,60
My33pS-gJkqoC-XyRXyX,2025-09-25,https://pokecabook.com/archives/234601,17,14,3,13,3,10,60
