deck_id,ace_spec_name_jp,source_url,count
MypEpS-9mitW2-ypyp3U,マキシマムベルト,https://pokecabook.com/archives/234601,1
Q6gHnP-uVNOXR-Qn9nLn,マキシマムベルト,https://pokecabook.com/archives/234601,1
kvwdVv-C7Ax4T-FkvFkb,マキシマムベルト,https://pokecabook.com/archives/234601,1
KccYJc-KAV9ut-88Yxcc,マキシマムベルト,https://pokecabook.com/archives/234601,1
xJ8cY8-cUmwbJ-KDGx8a,マキシマムベルト,https://pokecabook.com/archives/234601,1
HnP6N9-Lt26ak-n9QLgn,マキシマムベルト,https://pokecabook.com/archives/234601,1
8Y88Yc-5VzB0Q-DDKK8G,マキシマムベルト,https://pokecabook.com/archives/234601,1
gPngnQ-WVJO9Z-PiLLg6,マキシマムベルト,https://pokecabook.com/archives/234601,1
848x8J-25XBJv-KYaDGc,マキシマムベルト,https://pokecabook.com/archives/234601,1
My33pS-gJkqoC-XyRXyX,マキシマムベルト,https://pokecabook.com/archives/234601,1
